rank,user_id,pro_score,pro_score_raw,user_segment_marketing,user_city,user_region,ad_category_1,ad_category_2,ad_category_3,total_ads_last_12m,avg_ad_lifetime_days,questions_per_ad_avg,rating_seller,reviews_count,response_time_minutes,total_deals_last_12m,deal_success_rate,contacts_per_ad_avg,followers_count,avg_views_per_day,score_total_ads_last_12m,score_avg_ad_lifetime_days,score_questions_per_ad_avg,score_rating_seller,score_reviews_count,score_response_time_minutes,score_total_deals_last_12m,score_deal_success_rate,score_contacts_per_ad_avg
17,95f1ba6401451249,86.37,0.8636589568096279,Новичок,Нижний Новгород,Приволжский,Дети и игрушки,Конструкторы,Star Wars,197,0.5,5.0,4.8,263,6.8,86,0.99,1.6,2110,25,0.964909611825258,0.987626835060449,0.876131436829695,0.6232499274922878,0.9647828401916787,0.9448464670922299,0.9135797773890114,0.959344337111128,0.08437919931036231
18,af7e633704bc9f57,86.3,0.8629685740006349,Премиум,Воронеж,Центральный,Одежда и обувь,Обувь,New Balance,122,2.1,8.9,4.9,165,7.1,84,0.87,4.5,484,167,0.9078496995512284,0.8921632124352331,0.9853832306483101,0.7600917552139637,0.909827337035065,0.9385868368919217,0.9099794629953601,0.6636495017874801,0.32006034329758376
19,ef9587a849102159,86.3,0.8629685740006349,Премиум,Воронеж,Центральный,Одежда и обувь,Обувь,New Balance,122,2.1,8.9,4.9,165,7.1,84,0.87,4.5,484,167,0.9078496995512284,0.8921632124352331,0.9853832306483101,0.7600917552139637,0.909827337035065,0.9385868368919217,0.9099794629953601,0.6636495017874801,0.32006034329758376
20,955fcc920072c400,86.04,0.8603612272836452,Новичок,Санкт-Петербург,Северо-Западный,Авто,Запчасти,Hyundai/Kia,148,2.0,5.3,5.0,198,17.1,67,0.83,7.5,69,126,0.9357014274485941,0.9005019430051814,0.8950837960497959,0.9109605294381311,0.9357521361020258,0.6754897644728153,0.8682335640577065,0.5346720417839305,0.6825891838442231
21,165d62b1bf9f2971,85.97,0.8596946068979616,Новичок,Нижний Новгород,Приволжский,Дом и сад,Инструменты,Metabo,284,0.7,6.0,4.8,380,26.5,173,0.91,8.2,126,40,0.9863086635734388,0.9708549222797928,0.9291600111559037,0.6232499274922878,0.9863340179001546,0.4635428131190843,0.9808067746760984,0.7756142085646915,0.757283030349129
22,08075160e8e6959a,85.96,0.8595738523555677,Новичок,Челябинск,Уральский,Электроника,Смартфоны и телефоны,Realme,124,0.9,4.6,4.9,166,4.9,63,0.98,3.8,94,450,0.9101315889556553,0.9632313255613126,0.845211835399711,0.7600917552139637,0.9108161557769834,0.9777542372881356,0.8535027002357952,0.9119444233158388,0.2482442128749271
23,99457b48fb972d25,85.96,0.8595738523555677,Новичок,Челябинск,Уральский,Электроника,Смартфоны и телефоны,Realme,124,0.9,4.6,4.9,166,4.9,63,0.98,3.8,94,450,0.9101315889556553,0.9632313255613126,0.845211835399711,0.7600917552139637,0.9108161557769834,0.9777542372881356,0.8535027002357952,0.9119444233158388,0.2482442128749271
24,403d01f790050255,85.95,0.8595245070387137,Активный,Уфа,Приволжский,Услуги,Обучение,Английский,253,2.5,8.4,4.9,338,,136,0.88,6.4,45,148,0.9813392155371314,0.8536269430051814,0.9810349636165412,0.7600917552139637,0.9814279556806369,0.5,0.9659111077305342,0.6937324104358409,0.5514185745797521
25,968b63553568b88b,85.9,0.8589926840994572,Постоянный клиент,Челябинск,Уральский,Авто,Шины и диски,Michelin,349,4.2,5.5,5.0,462,8.6,254,0.85,4.5,433,27,0.9922035445348749,0.6088757556131261,0.9060875738444766,0.9109605294381311,0.9920767729012956,0.9042070217917676,0.9938515757714054,0.5995664410131589,0.32006034329758376
26,35162c7cd5151ab9,85.72,0.8572241704393039,Спящий,Москва,Центральный,Дети и игрушки,Коляски,Peg Perego,202,3.7,5.1,4.9,265,9.6,132,0.93,6.8,65,175,0.9670774067594635,0.6923035405872193,0.8825967901422378,0.7600917552139637,0.9654040211962172,0.8790997138454766,0.9636292183261074,0.8231282168302021,0.6002129763444132
27,314b7383f4ea2cb1,85.68,0.8568127053446982,Уходящий,Владивосток,Дальневосточный,Хобби и отдых,Спорт и отдых,Палатки,140,2.2,9.0,4.9,188,18.4,117,0.9,5.3,219,336,0.9286275702948709,0.8837840025906736,0.9861692147765017,0.7600917552139637,0.929109302502472,0.6421279991195246,0.9522704799574048,0.7500316929083948,0.4167237139017773
28,4f57a08adec06786,85.66,0.8565818960000733,Постоянный клиент,Москва,Центральный,Недвижимость,Квартиры,Аренда,181,3.6,3.5,5.0,243,10.0,171,0.88,10.3,58,191,0.9581526837554829,0.7075642271157168,0.7265028777160822,0.9109605294381311,0.958482290002789,0.8696483601144618,0.9802996881417814,0.6937324104358409,0.9115007225983114
29,3de9c5e2962d0bbb,85.62,0.8561995362187902,Новичок,Уфа,Приволжский,Авто,Запчасти,Hyundai/Kia,260,2.4,5.0,5.0,346,17.4,169,0.76,6.4,54,172,0.9826449633629979,0.8642864853195165,0.876131436829695,0.9109605294381311,0.9826576405263558,0.6679919656614571,0.9796531528105271,0.31170609264470983,0.5514185745797521
30,32c4acf6b9f828d7,85.56,0.8556484819129816,Постоянный клиент,Казань,Приволжский,Недвижимость,Коммерческая,Склады,84,3.3,7.1,5.0,114,12.5,60,0.99,8.0,109,15,0.826094673055957,0.754871006044905,0.9606500849369946,0.9109605294381311,0.8295048299992394,0.8009437596302003,0.8420932532136609,0.959344337111128,0.7374305925306154
31,35d3acdd7bf88c98,85.48,0.854786663072931,Новичок,Ростов-на-Дону,Южный,Услуги,Доставка,Переезды,160,4.1,6.3,5.0,211,,118,0.99,7.9,430,580,0.9451839456403235,0.6262008851468048,0.9385537892041277,0.9109605294381311,0.9437514261808778,0.5,0.9531071727390279,0.959344337111128,0.7267690981465987
32,ccc06511d7c3ecec,85.42,0.8541816245184715,Постоянный клиент,Челябинск,Уральский,Недвижимость,"Дома, дачи, коттеджи",Продажа,244,4.3,8.1,5.0,324,14.9,139,0.81,7.1,59,90,0.97951370401359,0.5914966537132987,0.9772952004259526,0.9109605294381311,0.9789939403159149,0.7353758529605987,0.9675337846403489,0.4693719733272483,0.6353794274993028
33,73f8d82604e7b18e,85.42,0.8541816245184715,Постоянный клиент,Челябинск,Уральский,Недвижимость,"Дома, дачи, коттеджи",Продажа,244,4.3,8.1,5.0,324,14.9,139,0.81,7.1,59,90,0.97951370401359,0.5914966537132987,0.9772952004259526,0.9109605294381311,0.9789939403159149,0.7353758529605987,0.9675337846403489,0.4693719733272483,0.6353794274993028
34,52b452f682dcc9a2,85.35,0.8534607417751084,Постоянный клиент,Екатеринбург,Уральский,Хобби и отдых,Коллекционирование,Карточки,315,3.7,3.0,5.0,420,11.8,295,0.93,9.2,126,227,0.9893765371060571,0.6923035405872193,0.6504018660784463,0.9109605294381311,0.989401891432773,0.8208920316971164,0.9970208666108872,0.8231282168302021,0.8430567176288634
35,35b4853aab50b239,85.32,0.8531739510215877,Новичок,Омск,Сибирский,Хобби и отдых,Коллекционирование,Винил,104,3.7,5.6,5.0,137,9.0,71,0.86,11.5,195,202,0.8763342714434218,0.6923035405872193,0.9113359194746583,0.9109605294381311,0.8728353743566339,0.8935174994497028,0.8798458456935676,0.6318932075758729,0.9594964630714231
36,dea44c3072846bcf,85.3,0.8529885961830427,Активный,Уфа,Приволжский,Электроника,Смартфоны и телефоны,Huawei,176,4.9,5.2,5.0,237,8.2,158,0.9,7.9,158,162,0.9555411881037499,0.4798818005181347,0.8890114348013488,0.9109605294381311,0.9560229203113512,0.9137821923838872,0.9756471691894222,0.7500316929083948,0.7267690981465987
37,73518f0f446ad771,85.23,0.8522947090954753,Новичок,Челябинск,Уральский,Дом и сад,Кухонная техника,Philips,92,1.3,5.1,4.9,121,10.1,77,0.86,13.8,113,60,0.8491037245505946,0.9454879101899827,0.8825967901422378,0.7600917552139637,0.8449202606424786,0.8670206911732335,0.8949316700895008,0.6318932075758729,0.9936107096676048
38,acf258bbf231ea3d,85.05,0.850546908526975,Новичок,Омск,Сибирский,Одежда и обувь,Одежда,Куртки,171,2.6,7.5,4.9,230,14.8,94,0.72,11.6,1063,48,0.9528663066352273,0.8429943868739206,0.9688648867929313,0.7600917552139637,0.9533480388428285,0.7380172793308386,0.9263076494003701,0.20504044015111178,0.9620318957430085
39,08bca44591dd7ae9,85.03,0.8503027801410802,Уходящий,Новосибирск,Сибирский,Одежда и обувь,Аксессуары,Часы,383,2.4,6.6,4.7,513,5.0,170,0.77,10.0,5,297,0.9941685048553536,0.8642864853195165,0.9479095357622779,0.46923036359321857,0.9943333079790067,0.9762546775258639,0.9799320504044015,0.3420932532136609,0.8955274967673233
40,88e9468fc1756345,85.02,0.8501902283348001,Постоянный клиент,Санкт-Петербург,Северо-Западный,Одежда и обувь,Аксессуары,Очки,144,3.2,5.5,5.0,197,18.0,99,0.91,5.0,178,87,0.9326462310793336,0.7693221070811744,0.9060875738444766,0.9109605294381311,0.9350675692806978,0.6531614571868809,0.9325448137724702,0.7756142085646915,0.37949088511954565
41,da2eac32c3d4f472,85.0,0.8499784076473019,Новичок,Пермь,Приволжский,Электроника,Аудио,Sennheiser,68,0.9,7.3,5.0,89,19.2,60,0.99,8.3,594,68,0.7628229507365432,0.9632313255613126,0.9646053599046678,0.9109605294381311,0.7540249993661419,0.6206664098613252,0.8420932532136609,0.959344337111128,0.7673106665652494
42,88337019f0a85c4a,84.96,0.8495501926266324,Активный,Москва,Центральный,Электроника,Аудио,Sony,111,0.5,5.2,5.0,148,20.3,74,0.96,1.9,308,322,0.890190410993636,0.987626835060449,0.8890114348013488,0.9109605294381311,0.889341041048655,0.5948024433193925,0.8876549783220506,0.8820770264445628,0.09997211024061256
43,0a475180f8c8753c,84.95,0.849455450844806,Постоянный клиент,Владивосток,Дальневосточный,Недвижимость,"Дома, дачи, коттеджи",Продажа,399,0.5,7.2,4.8,533,7.3,329,0.62,4.6,797,35,0.997565984635278,0.987626835060449,0.9626277224208312,0.6232499274922878,0.9986688978474176,0.9340881576051068,0.9986562206840597,0.0482112522501965,0.33174868791359247
44,458809a638708d04,84.91,0.8491103118318047,Спящий,Самара,Приволжский,Дети и игрушки,Игрушки,Куклы,175,0.5,4.9,4.9,238,54.0,112,0.95,12.3,106,49,0.9549707157526431,0.987626835060449,0.8691209654927613,0.7600917552139637,0.9564285895388048,0.1644012766894123,0.9474911893714663,0.86484876144114,0.9769022083618569
45,55450e63cfd9f9fa,84.79,0.847869592929248,Премиум,Ростов-на-Дону,Южный,Услуги,Обучение,Английский,121,2.8,5.3,4.9,158,15.8,64,0.96,8.9,71,67,0.9064171800917826,0.8204069516407599,0.8950837960497959,0.7600917552139637,0.9022971020004564,0.7106812678846577,0.8572931720798154,0.8820770264445628,0.8190968788823813
46,d63d59b32e54b48c,84.79,0.8478655634415151,Премиум,Екатеринбург,Уральский,Дети и игрушки,Игрушки,Куклы,192,2.9,4.1,4.9,255,7.2,112,0.95,3.6,742,469,0.962830557034558,0.807939335060449,0.7990923151035724,0.7600917552139637,0.9625896909307573,0.9362893462469734,0.9474911893714663,0.86484876144114,0.22891153875408837
47,037b1a175fc0a3f1,84.77,0.8476989112853988,Новичок,Казань,Приволжский,Услуги,Ремонт,Квартир,149,3.5,6.7,5.0,204,24.0,108,0.95,4.9,352,71,0.9366268603737228,0.7232836787564767,0.9506224487208742,0.9109605294381311,0.9400496944803631,0.514596632181378,0.9431682766664131,0.86484876144114,0.3672320681524302
48,4ba5167878d3cdc8,84.72,0.8472324895722118,Премиум,Самара,Приволжский,Хобби и отдых,Коллекционирование,Монеты,204,4.5,6.6,5.0,270,16.5,121,0.86,7.3,71,155,0.9679521310311605,0.5553621545768567,0.9479095357622779,0.9109605294381311,0.9671915012296849,0.6913520801232665,0.9557440227174767,0.6318932075758729,0.659136431632058
49,6ce34662c02086fc,84.71,0.8471246926765256,Спящий,Челябинск,Уральский,Авто,Автомобили,Hyundai,233,2.3,6.3,,310,15.5,117,0.99,5.9,610,89,0.97706701148551,0.8743388385146805,0.9385537892041277,0.5,0.9768134682183515,0.7188256658595642,0.9522704799574048,0.959344337111128,0.4890849623488248
50,8b177beba0f32f39,84.68,0.8467543318441876,Постоянный клиент,Москва,Центральный,Электроника,Смартфоны и телефоны,Realme,119,0.5,4.4,4.9,156,13.6,52,0.85,11.6,154,164,0.9030450546385741,0.987626835060449,0.8286554600542583,0.7600917552139637,0.900116629902893,0.7707049306625577,0.8043279835703963,0.5995664410131589,0.9620318957430085
51,a46af436814377a8,84.65,0.846506559981755,Активный,Ростов-на-Дону,Южный,Одежда и обувь,Обувь,Adidas,273,2.4,3.9,5.0,363,30.1,114,0.95,5.8,163,46,0.9848634669506351,0.8642864853195165,0.7778580664790447,0.9109605294381311,0.984546537866687,0.4007951793968743,0.949443472528587,0.86484876144114,0.4760401612535179
52,9bde60ab50c2bb18,84.61,0.8460699093776736,Новичок,Екатеринбург,Уральский,Одежда и обувь,Обувь,Puma,115,1.3,4.4,5.0,151,4.1,70,0.71,7.2,277,121,0.8973910397809386,0.9454879101899827,0.8286554600542583,0.9109605294381311,0.8935371821201288,0.9867515958617653,0.8771456098983291,0.182069420146548,0.6470677721153115
53,7f17d40bd9ec7930,84.49,0.8449320815009886,Активный,Владивосток,Дальневосточный,Дети и игрушки,Конструкторы,Technic,399,1.8,9.0,4.6,532,10.1,258,0.83,9.1,294,93,0.997565984635278,0.9154657815198618,0.9861692147765017,0.3186120705565956,0.9976547247787835,0.8670206911732335,0.994269922162217,0.5346720417839305,0.835120813366801
54,f59502df7818c573,84.49,0.8449320815009886,Активный,Владивосток,Дальневосточный,Дети и игрушки,Конструкторы,Technic,399,1.8,9.0,4.6,532,10.1,258,0.83,9.1,294,93,0.997565984635278,0.9154657815198618,0.9861692147765017,0.3186120705565956,0.9976547247787835,0.8670206911732335,0.994269922162217,0.5346720417839305,0.835120813366801
55,b0c1934b35a436f0,84.39,0.8438801406745111,Новичок,Омск,Сибирский,Авто,Шины и диски,Michelin,225,2.6,2.3,5.0,294,14.3,147,0.95,10.8,227,213,0.9748992165513045,0.8429943868739206,0.5135011789761923,0.9109605294381311,0.9734413427651428,0.7516508914814,0.9714383509545904,0.86484876144114,0.9349788291371922
56,ee11d9e24948f2f3,84.39,0.8438801406745111,Новичок,Омск,Сибирский,Авто,Шины и диски,Michelin,225,2.6,2.3,5.0,294,14.3,147,0.95,10.8,227,213,0.9748992165513045,0.8429943868739206,0.5135011789761923,0.9109605294381311,0.9734413427651428,0.7516508914814,0.9714383509545904,0.86484876144114,0.9349788291371922
57,fa269c3a4469c07d,84.33,0.8433253747304944,Постоянный клиент,Уфа,Приволжский,Авто,Шины и диски,Michelin,381,4.5,6.6,4.8,510,9.5,295,0.99,5.3,591,55,0.9940544103851322,0.5553621545768567,0.9479095357622779,0.6232499274922878,0.994092441875206,0.8814659916354831,0.9970208666108872,0.959344337111128,0.4167237139017773
58,df42a73e35a00859,84.23,0.842283526901187,Уходящий,Краснодар,Южный,Услуги,Доставка,Курьер,84,2.2,3.5,5.0,114,6.8,52,0.94,10.9,814,325,0.826094673055957,0.8837840025906736,0.7265028777160822,0.9109605294381311,0.8295048299992394,0.9448464670922299,0.8043279835703963,0.8447301031921097,0.9391115843918765
59,ec89931a4963212a,84.21,0.842083204278754,Активный,Нижний Новгород,Приволжский,Электроника,Аудио,Apple,189,3.1,8.7,4.8,254,,142,0.99,6.4,204,232,0.9618417382926396,0.7830175949913645,0.9840521284957278,0.6232499274922878,0.9623488248269567,0.5,0.9690803985700159,0.959344337111128,0.5514185745797521
60,73c18d5e002e3044,84.07,0.8407179850085136,Активный,Екатеринбург,Уральский,Услуги,Доставка,Грузчики,207,5.1,5.6,5.0,275,9.9,137,0.84,7.8,122,16,0.9689789812631525,0.44435449050086356,0.9113359194746583,0.9109605294381311,0.9686747293425623,0.8723310587717368,0.9665069344083568,0.56775943814812,0.7163611470297406
61,7fe6c40186faccdd,84.07,0.8407055631271769,Постоянный клиент,Омск,Сибирский,Электроника,Игровые приставки,Microsoft,331,3.9,7.3,5.0,442,25.2,235,0.71,10.4,218,145,0.9909485053624401,0.6596907383419689,0.9646053599046678,0.9109605294381311,0.990961182525798,0.4900258639665419,0.9919500012677164,0.182069420146548,0.9165082021246925
62,2c91e512a1cf17d2,84.04,0.8403515965505178,Новичок,Нижний Новгород,Приволжский,Авто,Автомобили,BMW,249,3.6,2.4,5.0,332,5.8,160,0.99,6.6,171,266,0.9804518141020765,0.7075642271157168,0.5342410182297609,0.9109605294381311,0.9803123653051393,0.964299471714726,0.9764965391344033,0.959344337111128,0.5766714839887427
63,be470effdbea8624,83.97,0.8397448516965476,Новичок,Краснодар,Южный,Дети и игрушки,Игрушки,Интерактивные,194,5.9,5.0,5.0,260,9.5,170,0.91,11.5,58,261,0.9637306356329708,0.30999028497409326,0.876131436829695,0.9109605294381311,0.9639461474100556,0.8814659916354831,0.9799320504044015,0.7756142085646915,0.9594964630714231
64,213dc1f745fe2e6f,83.93,0.83933317948707,Уходящий,Уфа,Приволжский,Дети и игрушки,Конструкторы,Technic,276,1.2,6.8,4.7,366,15.5,258,0.78,9.0,1116,92,0.9852057503612992,0.9504938471502591,0.9529677239420907,0.46923036359321857,0.9850282700742882,0.7188256658595642,0.994269922162217,0.373355138054309,0.8269820744910119
65,51417e2dfce73891,83.93,0.83933317948707,Уходящий,Уфа,Приволжский,Дети и игрушки,Конструкторы,Technic,276,1.2,6.8,4.7,366,15.5,258,0.78,9.0,1116,92,0.9852057503612992,0.9504938471502591,0.9529677239420907,0.46923036359321857,0.9850282700742882,0.7188256658595642,0.994269922162217,0.373355138054309,0.8269820744910119
66,2b6b4c80178bdece,83.92,0.8391587082324883,Спящий,Екатеринбург,Уральский,Дом и сад,Мебель,Диваны,195,0.5,3.5,5.0,254,26.1,157,0.96,0.7,1563,40,0.964212367840572,0.987626835060449,0.7265028777160822,0.9109605294381311,0.9623488248269567,0.4718385428131191,0.9751781141451789,0.8820770264445628,0.04909865368525139
67,47a6db1117109102,83.92,0.8391847487687971,Новичок,Казань,Приволжский,Хобби и отдых,Коллекционирование,LEGO,169,2.0,3.3,5.0,225,5.9,120,0.67,8.3,73,312,0.9515732359727187,0.9005019430051814,0.697865165690525,0.9109605294381311,0.9510407951116858,0.9627173673783843,0.954996070079359,0.10699525874090414,0.7673106665652494
68,032534899cc1c370,83.87,0.8387043530728776,Спящий,Москва,Центральный,Дом и сад,Кухонная техника,Philips,316,3.5,6.6,5.0,426,36.5,178,0.84,6.3,75,32,0.9895159859029944,0.7232836787564767,0.9479095357622779,0.9109605294381311,0.9897695291701529,0.3113581333920317,0.9822392941355442,0.56775943814812,0.5391217261225628
69,e2943e1d7a753552,83.86,0.8386398042229491,Уходящий,Екатеринбург,Уральский,Услуги,Доставка,Грузчики,398,1.3,5.4,4.6,531,8.7,219,0.94,5.4,131,206,0.9960954336857585,0.9454879101899827,0.9005222991303466,0.3186120705565956,0.996361654116275,0.9017031697116443,0.9901498440708907,0.8447301031921097,0.4286148931315129
70,530d4d1ed8bdbd59,83.82,0.8382319857165296,Новичок,Омск,Сибирский,Услуги,Обучение,Английский,139,0.5,4.1,4.9,187,,101,0.87,9.5,268,186,0.9276133972262367,0.987626835060449,0.7990923151035724,0.7600917552139637,0.9283740270277123,0.5,0.9351563094242032,0.6636495017874801,0.8647600212976344
71,90c33e94859df2f9,83.79,0.8379395893711551,Постоянный клиент,Красноярск,Сибирский,Дом и сад,Кухонная техника,Bosch,96,2.3,3.4,4.9,127,4.0,76,0.94,11.4,30,75,0.8587637230293349,0.8743388385146805,0.7124312263887832,0.7600917552139637,0.8561775817043178,0.9876595861765354,0.8927258436652215,0.8447301031921097,0.9566060698258158
72,a295012de00a6db9,83.73,0.837291471526345,Постоянный клиент,Казань,Приволжский,Услуги,Ремонт,Телефонов,178,3.1,3.4,4.9,241,7.1,85,0.97,5.8,522,618,0.956390558048731,0.7830175949913645,0.7124312263887832,0.7600917552139637,0.9577216602013133,0.9385868368919217,0.9118556831723333,0.8974290712710123,0.4760401612535179
73,c8acf4f914f85b7a,83.73,0.8372914060858301,Премиум,Красноярск,Сибирский,Электроника,Игровые приставки,Nintendo,165,1.7,7.2,4.8,228,57.6,111,0.99,10.4,941,31,0.9488222915240486,0.9219694516407599,0.9626277224208312,0.6232499274922878,0.9525367003879212,0.1447556680607528,0.9464263076494004,0.959344337111128,0.9165082021246925
74,32b77c983385741f,83.69,0.8368564038330522,Постоянный клиент,Красноярск,Сибирский,Электроника,Ноутбуки,HP,180,3.9,6.2,4.9,239,12.9,111,0.94,3.5,79,15,0.9574934712608707,0.6596907383419689,0.9358535534088892,0.7600917552139637,0.9568469359296163,0.7900478758529605,0.9464263076494004,0.8447301031921097,0.22008823305697117
75,3c0a889e29bdf72b,83.67,0.8366855651763421,Постоянный клиент,Самара,Приволжский,Услуги,Обучение,Вождение,163,3.5,4.1,5.0,220,10.0,69,0.81,7.5,1308,101,0.947199614614234,0.7232836787564767,0.7990923151035724,0.9109605294381311,0.9486955198904693,0.8696483601144618,0.8741411221825004,0.4693719733272483,0.6825891838442231
76,35f547444d32ab02,83.63,0.8362817224474924,Активный,Нижний Новгород,Приволжский,Услуги,Доставка,Курьер,122,0.5,2.9,5.0,163,23.2,75,0.94,10.1,721,162,0.9078496995512284,0.987626835060449,0.6331736010750234,0.9109605294381311,0.9078243452245126,0.5301562843935725,0.8902284424837098,0.8447301031921097,0.9012322202783906
