rank,user_id,final_score,behavior_score,style_score,score_professionalism,score_charisma,score_expertise,kw_professional_count,kw_logistics_count,kw_charisma_count,kw_expertise_count,text_word_count,text_digit_count,text_unique_ratio,user_segment_marketing,user_city,user_region,ad_category_1,ad_category_2,ad_category_3,rating_seller,reviews_count,response_time_minutes,comments_per_ad_avg,comment_length_avg,comment_sentiment_avg,questions_per_ad_avg,followers_count,total_ads_last_12m,total_deals_last_12m,deal_success_rate
11,165d62b1bf9f2971,81.72,85.97,71.8,0.7325879161278872,0.8481871656398164,0.568291879009153,6,3,6,0,38,0,0.868421052631579,Новичок,Нижний Новгород,Приволжский,Дом и сад,Инструменты,Metabo,4.8,380,26.5,8.6,45.2,0.87,6.0,126,284,173,0.91
12,6c3b3180fc784ea7,81.59,88.72,64.95,0.7625339114119825,0.6192280875231359,0.5291093025024721,4,4,6,0,39,0,0.8461538461538461,Новичок,Пермь,Приволжский,Дети и игрушки,Игрушки,Куклы,5.0,463,7.0,3.9,18.6,0.71,5.0,51,349,312,0.86
13,f34bf578f9141ca2,81.53,90.54,60.53,0.7410131588955655,0.3936170482492837,0.6359530691412489,4,4,3,1,17,0,0.9411764705882352,Активный,Екатеринбург,Уральский,Электроника,Смартфоны и телефоны,Xiaomi,5.0,478,11.7,2.8,21.7,0.55,10.5,74,359,284,0.82
14,32b77c983385741f,80.78,83.69,73.99,0.7746076417940723,0.6465251895235922,0.7868880099388961,5,3,6,1,48,3,0.9166666666666666,Постоянный клиент,Красноярск,Сибирский,Электроника,Ноутбуки,HP,4.9,239,12.9,7.4,10.7,0.59,6.2,79,180,111,0.94
15,90c33e94859df2f9,80.76,83.79,73.69,0.8590426206232095,0.5472230673664461,0.7636171750209172,7,2,6,2,35,0,0.7428571428571429,Постоянный клиент,Красноярск,Сибирский,Дом и сад,Кухонная техника,Bosch,4.9,127,4.0,3.2,44.8,0.35,3.4,30,96,76,0.94
16,968b63553568b88b,80.66,85.9,68.42,0.7557617707461779,0.5287562435029538,0.7441970284729089,4,4,3,2,19,0,1.0,Постоянный клиент,Челябинск,Уральский,Авто,Шины и диски,Michelin,5.0,462,8.6,0.6,51.3,0.83,5.5,433,349,254,0.85
17,13dd6e77255c73e3,80.61,86.41,67.05,0.8431885601277858,0.4220557288101215,0.6888054308967826,5,4,3,1,18,0,0.9444444444444444,Новичок,Воронеж,Центральный,Одежда и обувь,Обувь,Adidas,5.0,123,8.6,2.5,18.3,0.65,3.8,111,94,75,0.99
18,88337019f0a85c4a,80.58,84.96,70.38,0.6802134834309475,0.7252053700463983,0.7137680332648766,4,3,6,1,51,0,0.7843137254901961,Активный,Москва,Центральный,Электроника,Аудио,Sony,5.0,148,20.3,5.2,33.8,0.67,5.2,308,111,74,0.96
19,410b5c0265ae8eed,80.47,82.52,75.7,0.8290433812530109,0.6693757764762557,0.7485807915620801,6,3,3,2,45,0,0.8,Премиум,Самара,Приволжский,Авто,Запчасти,Toyota,4.8,220,8.7,8.1,32.0,0.88,2.7,77,166,83,0.96
20,c89b92e046362718,80.46,87.76,63.41,0.4861920336705458,0.6393873126949113,0.8261010116376359,3,0,4,1,46,6,0.9130434782608696,Активный,Воронеж,Центральный,Электроника,Ноутбуки,Dell,5.0,244,6.2,3.6,42.1,0.76,5.6,78,184,105,0.99
21,fa269c3a4469c07d,80.37,84.33,71.12,0.6340762151061079,0.6897549504322913,0.8354028802515149,4,2,4,2,50,0,0.78,Постоянный клиент,Уфа,Приволжский,Авто,Шины и диски,Michelin,4.8,510,9.5,8.5,13.2,0.63,6.6,591,381,295,0.99
22,72996841bd326c0b,80.18,89.19,59.17,0.5475926066783297,0.5298756370274588,0.7121833878451358,4,0,7,1,45,0,0.8666666666666667,Спящий,Новосибирск,Сибирский,Электроника,Смартфоны и телефоны,Xiaomi,5.0,214,15.2,1.5,21.5,0.65,6.5,161,159,111,0.93
23,351f39590dd416bc,79.93,90.41,55.5,0.6211429730483508,0.4987563702745873,0.5230901853401284,4,1,3,0,32,0,0.78125,Уходящий,Уфа,Приволжский,Недвижимость,Коммерческая,Торговые площади,5.0,437,10.0,2.6,22.7,0.76,5.1,183,326,184,0.85
24,b2c0e82a32610522,79.81,83.55,71.1,0.7772698460992369,0.6597836008214801,0.6737614411399305,6,3,4,1,21,0,0.9047619047619048,Новичок,Пермь,Приволжский,Электроника,Смартфоны и телефоны,Google Pixel,5.0,181,29.8,2.8,9.7,0.91,13.6,431,135,73,0.85
25,0809fbec01c5877a,79.8,80.96,77.09,0.7987576379909231,0.7453151542810781,0.7593918764737202,5,4,4,1,25,5,0.88,Уходящий,Казань,Приволжский,Электроника,Смартфоны и телефоны,Apple,5.0,121,17.6,4.6,24.1,0.9,4.4,478,91,74,0.89
26,48c680eaf033a156,79.79,86.45,64.25,0.6346923252453032,0.6299967039375269,0.6655770644760529,6,1,3,0,35,3,0.8571428571428571,Спящий,Ростов-на-Дону,Южный,Дом и сад,Мебель,Шкафы,5.0,483,44.7,3.6,49.3,0.74,5.0,1138,361,203,0.99
27,2f981145617c515b,79.78,82.96,72.38,0.7890570725894375,0.6331640932025051,0.7275550822747902,6,3,8,1,50,2,0.86,Новичок,Екатеринбург,Уральский,Электроника,Смартфоны и телефоны,Apple,5.0,516,26.2,3.2,32.3,0.71,2.7,87,385,336,0.99
28,8c3398c056a14829,79.72,83.12,71.78,0.7662787454679142,0.6575701680991861,0.7135043482670318,5,2,3,2,15,0,0.9333333333333332,Активный,Уфа,Приволжский,Электроника,Игровые приставки,Nintendo,5.0,112,11.7,12.4,37.3,0.71,3.4,167,87,63,0.93
29,35d3acdd7bf88c98,79.71,85.48,66.25,0.6325701680991862,0.5331076798255623,0.8318748256890038,5,1,3,2,36,0,0.7777777777777778,Новичок,Ростов-на-Дону,Южный,Услуги,Доставка,Переезды,5.0,211,,2.4,32.3,0.75,6.3,430,160,118,0.99
30,c993f0670d2ab51b,79.71,83.33,71.25,0.8236150199031466,0.5221514413934738,0.7548002079054792,6,2,3,3,31,0,0.935483870967742,Новичок,Казань,Приволжский,Авто,Шины и диски,Nokian,5.0,482,12.2,2.2,31.4,0.74,3.5,508,362,157,0.84
31,df42a73e35a00859,79.69,84.23,69.11,0.6593950457645598,0.6576449633629979,0.7666787099718567,3,4,5,2,37,0,0.918918918918919,Уходящий,Краснодар,Южный,Услуги,Доставка,Курьер,5.0,114,6.8,0.3,51.9,0.81,3.5,814,84,52,0.94
32,c8acf4f914f85b7a,79.67,83.73,70.21,0.4825993255749093,0.8585596206992724,0.8382273522476611,4,2,8,2,49,0,0.7142857142857143,Премиум,Красноярск,Сибирский,Электроника,Игровые приставки,Nintendo,4.8,228,57.6,9.4,27.6,0.83,7.2,941,165,111,0.99
33,be5fa1ff6ed2f390,79.65,82.15,73.79,0.7976851499708425,0.6107160061864557,0.785494155827692,5,4,4,2,19,0,0.8947368421052632,Активный,Красноярск,Сибирский,Услуги,Обучение,Программирование,4.8,142,6.2,3.2,23.1,0.85,5.2,52,104,71,0.93
34,ea40439e0f1d710a,79.63,88.55,58.81,0.6714053903298598,0.5250469055044243,0.5402449227960752,5,1,4,0,43,0,0.9534883720930232,Активный,Москва,Центральный,Недвижимость,Квартиры,Новостройка,5.0,203,17.4,2.6,32.4,0.57,4.9,165,155,103,0.88
35,ef9587a849102159,79.6,86.3,63.96,0.80198270834918,0.5198270834917978,0.542784158616668,5,3,2,0,18,0,0.8888888888888888,Премиум,Воронеж,Центральный,Одежда и обувь,Обувь,New Balance,4.9,165,7.1,11.9,26.7,0.56,8.9,484,122,84,0.87
36,af7e633704bc9f57,79.6,86.3,63.96,0.80198270834918,0.5198270834917978,0.542784158616668,5,3,2,0,18,0,0.8888888888888888,Премиум,Воронеж,Центральный,Одежда и обувь,Обувь,New Balance,4.9,165,7.1,11.9,26.7,0.56,8.9,484,122,84,0.87
37,3c0a889e29bdf72b,79.56,83.67,69.97,0.8784691057528968,0.4608998250551457,0.6999841535458026,6,3,2,2,20,0,0.75,Постоянный клиент,Самара,Приволжский,Услуги,Обучение,Вождение,5.0,220,10.0,2.0,25.4,0.83,4.1,1308,163,69,0.81
38,60d219681fa1d300,79.42,83.05,70.94,0.7430237570041327,0.6354009786770112,0.7384606120534469,5,3,4,2,18,0,0.7777777777777778,Постоянный клиент,Новосибирск,Сибирский,Услуги,Доставка,Курьер,4.7,250,6.9,2.3,13.1,0.84,4.9,1136,183,90,0.86
39,73c18d5e002e3044,79.4,84.07,68.49,0.9104383763089172,0.3303561015187242,0.7388852970259375,7,3,1,2,19,0,0.6842105263157895,Активный,Екатеринбург,Уральский,Услуги,Доставка,Грузчики,5.0,275,9.9,3.8,59.0,0.43,5.6,122,207,137,0.84
40,2c91e512a1cf17d2,79.36,84.04,68.44,0.7046753378464035,0.5956897644583048,0.7461144494307953,4,2,5,1,46,4,0.8913043478260869,Новичок,Нижний Новгород,Приволжский,Авто,Автомобили,BMW,5.0,332,5.8,1.2,34.2,0.78,2.4,171,249,160,0.99
41,52b452f682dcc9a2,79.3,85.35,65.19,0.721880783955782,0.5565458532998657,0.6539001293070663,4,3,6,1,48,0,0.8958333333333334,Постоянный клиент,Екатеринбург,Уральский,Хобби и отдых,Коллекционирование,Карточки,5.0,420,11.8,0.9,21.4,0.79,3.0,126,315,295,0.93
42,35f547444d32ab02,79.15,83.63,68.71,0.6246646890291828,0.6378438680560838,0.8194531071727391,4,2,3,2,36,3,0.9722222222222222,Активный,Нижний Новгород,Приволжский,Услуги,Доставка,Курьер,5.0,163,23.2,2.1,48.3,0.99,2.9,721,122,75,0.94
43,35162c7cd5151ab9,78.97,85.72,63.23,0.7414720722091226,0.5502167794934205,0.5687571309043888,6,1,3,0,40,0,0.8,Спящий,Москва,Центральный,Дети и игрушки,Коляски,Peg Perego,4.9,265,9.6,4.7,55.4,0.63,5.1,65,202,132,0.93
44,7f1b8074d4c52918,78.87,81.78,72.08,0.8064298572551407,0.5520803225070359,0.7753708070282194,5,3,3,1,46,3,0.9782608695652174,Активный,Пермь,Приволжский,Электроника,Ноутбуки,ASUS,4.9,178,5.9,3.6,39.4,0.74,3.8,122,132,60,0.99
45,5468c9f211556aa5,78.87,81.78,72.08,0.8064298572551407,0.5520803225070359,0.7753708070282194,5,3,3,1,46,3,0.9782608695652174,Активный,Пермь,Приволжский,Электроника,Ноутбуки,ASUS,4.9,178,5.9,3.6,39.4,0.74,3.8,122,132,60,0.99
46,444456575c4b77d0,78.84,82.41,70.53,0.8314596485890318,0.6178950837960497,0.6243712126974468,9,2,5,1,47,0,0.7446808510638298,Уходящий,Пермь,Приволжский,Хобби и отдых,Винтажная одежда,Adidas,4.8,250,9.2,2.8,40.6,0.72,2.9,44,191,159,0.88
47,a328b1dea6264e38,78.84,82.41,70.53,0.8314596485890318,0.6178950837960497,0.6243712126974468,9,2,5,1,47,0,0.7446808510638298,Уходящий,Пермь,Приволжский,Хобби и отдых,Винтажная одежда,Adidas,4.8,250,9.2,2.8,40.6,0.72,2.9,44,191,159,0.88
48,88e9468fc1756345,78.84,85.02,64.42,0.7783955782054208,0.5459654927613398,0.5634923049618418,5,3,3,0,37,0,0.918918918918919,Постоянный клиент,Санкт-Петербург,Северо-Западный,Одежда и обувь,Аксессуары,Очки,5.0,197,18.0,1.6,42.6,0.9,5.5,178,144,99,0.91
49,2b6b4c80178bdece,78.81,83.92,66.91,0.7292741056261252,0.7087301285464365,0.5493281103420299,5,3,6,0,40,0,0.875,Спящий,Екатеринбург,Уральский,Дом и сад,Мебель,Диваны,5.0,254,26.1,3.2,55.2,0.62,3.5,1563,195,157,0.96
50,e2943e1d7a753552,78.78,83.86,66.91,0.7191425166704699,0.3990771025075429,0.8723916736391066,6,2,2,2,31,3,0.9032258064516128,Уходящий,Екатеринбург,Уральский,Услуги,Доставка,Грузчики,4.6,531,8.7,0.7,36.3,0.91,5.4,131,398,219,0.94
51,b02ed0318daf36ee,78.77,89.04,54.81,0.645792449481504,0.3554803377196318,0.6103242818386958,4,2,0,0,38,0,0.7105263157894737,Новичок,Ростов-на-Дону,Южный,Дом и сад,Мебель,Диваны,5.0,239,18.3,3.1,49.7,0.84,6.9,20,180,153,0.99
52,79c6fd581c1ca62b,78.72,83.47,67.66,0.7637864151517457,0.7218028194011308,0.5151650566669203,4,5,3,0,21,7,0.9047619047619048,Постоянный клиент,Новосибирск,Сибирский,Авто,Автомобили,Volkswagen,5.0,534,8.7,7.2,52.1,0.96,2.8,83,399,301,0.78
53,99457b48fb972d25,78.61,85.96,61.45,0.6179179026900941,0.5469308587510459,0.6776634720215006,3,3,4,1,16,0,1.0,Новичок,Челябинск,Уральский,Электроника,Смартфоны и телефоны,Realme,4.9,166,4.9,0.3,39.3,0.86,4.6,94,124,63,0.98
54,08075160e8e6959a,78.61,85.96,61.45,0.6179179026900941,0.5469308587510459,0.6776634720215006,3,3,4,1,16,0,1.0,Новичок,Челябинск,Уральский,Электроника,Смартфоны и телефоны,Realme,4.9,166,4.9,0.3,39.3,0.86,4.6,94,124,63,0.98
55,f5d6005aab862f7a,78.6,80.67,73.77,0.7981643467457723,0.8079029436373317,0.5869101949747724,6,2,5,1,36,0,0.9444444444444444,Спящий,Санкт-Петербург,Северо-Западный,Дети и игрушки,Конструкторы,Technic,5.0,297,17.3,12.0,18.6,0.79,2.3,339,222,165,0.86
56,7f9de70c21ca2b87,78.57,83.15,67.86,0.8321416799776882,0.4343132780609011,0.7182734971222839,6,4,1,1,19,0,0.8947368421052632,Премиум,Ростов-на-Дону,Южный,Электроника,Смартфоны и телефоны,Realme,4.7,140,1.7,3.1,15.6,0.98,5.2,308,106,85,0.99
57,47a6db1117109102,78.56,83.92,66.05,0.9141477143074466,0.3787613143682969,0.6040383103876676,6,4,2,2,19,0,0.8947368421052632,Новичок,Казань,Приволжский,Хобби и отдых,Коллекционирование,LEGO,5.0,225,5.9,3.8,33.6,0.59,3.3,73,169,120,0.67
58,314b7383f4ea2cb1,78.52,85.68,61.82,0.7292741056261252,0.5131893207575873,0.5750412007809134,7,1,2,0,45,0,0.7333333333333333,Уходящий,Владивосток,Дальневосточный,Хобби и отдых,Спорт и отдых,Палатки,4.9,188,18.4,2.7,41.3,0.91,9.0,219,140,117,0.9
59,9bde60ab50c2bb18,78.4,84.61,63.92,0.7794604599274867,0.5945716386501356,0.4969213508785274,4,5,1,0,21,3,0.8571428571428571,Новичок,Екатеринбург,Уральский,Одежда и обувь,Обувь,Puma,5.0,151,4.1,7.3,75.8,0.87,4.4,277,115,70,0.71
60,4c33f6eff1a7df16,78.38,83.54,66.35,0.7723206815243021,0.5100517228265004,0.6717806343652545,4,4,2,1,19,3,0.8947368421052632,Постоянный клиент,Ростов-на-Дону,Южный,Дети и игрушки,Конструкторы,City,5.0,125,3.3,5.1,61.5,0.71,4.0,63,95,69,0.81
61,2fc4b876822f2b07,78.36,81.88,70.16,0.7423341193174615,0.6907691235009255,0.6581140184072412,4,4,4,2,17,0,0.9411764705882352,Активный,Ростов-на-Дону,Южный,Авто,Шины и диски,Michelin,4.9,219,3.9,2.9,32.3,0.83,6.8,1073,162,69,0.71
62,475d5836dee4c994,78.28,82.99,67.29,0.6106361400573008,0.6613016911335919,0.7674165208792881,4,1,4,2,14,0,0.9285714285714286,Активный,Екатеринбург,Уральский,Хобби и отдых,Коллекционирование,LEGO,4.9,103,5.4,4.2,21.0,0.82,9.7,146,76,49,0.97
63,cf10a3a4e991882c,78.06,80.39,72.6,0.680492381024822,0.8964656068558099,0.6161437336781521,5,1,5,1,39,0,0.8974358974358975,Активный,Омск,Сибирский,Одежда и обувь,Обувь,Adidas,4.9,168,9.8,9.0,40.4,1.0,2.3,256,125,68,0.91
64,73518f0f446ad771,78.05,85.23,61.28,0.63177657767298,0.5393682969498744,0.6610513171572729,5,0,2,1,38,0,0.9210526315789472,Новичок,Челябинск,Уральский,Дом и сад,Кухонная техника,Philips,4.9,121,10.1,6.0,65.4,0.69,5.1,113,92,77,0.86
65,458809a638708d04,78.04,84.91,62.02,0.5940518749524607,0.7013780076570066,0.5738089805025228,6,1,8,0,36,0,0.8333333333333334,Спящий,Самара,Приволжский,Дети и игрушки,Игрушки,Куклы,4.9,238,54.0,8.4,10.6,0.68,4.9,106,175,112,0.95
66,bf452e1c86b61a46,77.97,79.85,73.58,0.652397251590984,0.7924577216602013,0.7903374660885879,5,3,6,1,48,6,0.9583333333333334,Активный,Краснодар,Южный,Электроника,Ноутбуки,Dell,4.8,352,33.1,10.6,42.2,0.7,3.9,160,266,203,0.98
67,0a475180f8c8753c,77.96,84.95,61.65,0.5399178519814407,0.8346092898253087,0.5004024999366142,3,2,6,0,32,3,0.78125,Постоянный клиент,Владивосток,Дальневосточный,Недвижимость,"Дома, дачи, коттеджи",Продажа,4.8,533,7.3,7.6,54.1,0.69,7.2,797,399,329,0.62
68,3931334959580b15,77.94,82.37,67.62,0.7481047640779899,0.5276590350143252,0.7287524403539464,6,4,1,1,20,0,0.9,Постоянный клиент,Уфа,Приволжский,Недвижимость,"Дома, дачи, коттеджи",Аренда,4.6,240,15.4,12.2,47.8,0.64,5.9,709,178,100,0.99
69,3ecbd51cebf0f05e,77.9,82.1,68.09,0.7869323800106489,0.443554296290662,0.7769522831571208,6,3,3,2,19,0,0.8421052631578947,Спящий,Нижний Новгород,Приволжский,Услуги,Доставка,Грузчики,4.8,203,17.2,2.3,23.7,0.7,4.9,109,150,99,0.92
70,ee11d9e24948f2f3,77.87,84.39,62.65,0.7311807509951573,0.3847614157856038,0.7287511726376106,7,0,2,2,45,0,0.8888888888888888,Новичок,Омск,Сибирский,Авто,Шины и диски,Michelin,5.0,294,14.3,1.4,64.0,0.65,2.3,227,225,147,0.95
71,b0c1934b35a436f0,77.87,84.39,62.65,0.7311807509951573,0.3847614157856038,0.7287511726376106,7,0,2,2,45,0,0.8888888888888888,Новичок,Омск,Сибирский,Авто,Шины и диски,Michelin,5.0,294,14.3,1.4,64.0,0.65,2.3,227,225,147,0.95
72,2cd83b23fd3f10c5,77.86,79.92,73.07,0.7698917370249232,0.613912552927157,0.7953595243528307,8,2,4,2,37,0,0.8378378378378378,Уходящий,Челябинск,Уральский,Услуги,Доставка,Переезды,4.8,110,21.0,2.4,25.6,0.77,7.3,418,80,43,0.9
73,7bc2d1a8fc85c773,77.84,86.41,57.86,0.7392434268907989,0.3359784234679648,0.6071803453259299,6,4,1,0,36,0,0.8611111111111112,Постоянный клиент,Омск,Сибирский,Дом и сад,Инструменты,Metabo,5.0,345,69.2,1.0,38.7,0.81,6.4,284,257,181,0.99
74,fe77baa4a6bfaa49,77.83,81.1,70.18,0.728749271063107,0.6405580487310158,0.7272400547653457,6,3,3,2,20,0,0.95,Активный,Самара,Приволжский,Авто,Шины и диски,Bridgestone,4.9,276,37.4,3.7,49.4,1.0,15.8,61,209,169,0.79
75,0af8986c55129d25,77.8,80.79,70.81,0.7251261377754115,0.6591243883268679,0.7345351284196647,5,5,3,1,21,4,0.8571428571428571,Премиум,Пермь,Приволжский,Авто,Автомобили,Hyundai,,182,16.2,7.9,45.3,0.64,9.5,504,134,107,0.81
76,032534899cc1c370,77.77,83.87,63.55,0.5899748992165513,0.5999733779569484,0.7317917902690094,5,1,2,1,30,3,1.0,Спящий,Москва,Центральный,Дом и сад,Кухонная техника,Philips,5.0,426,36.5,10.0,31.2,0.92,6.6,75,316,178,0.84
77,6215a3cdddefab17,77.68,80.91,70.15,0.9493014882989784,0.4824991759843817,0.5902011865824902,7,4,3,1,19,0,0.7368421052631579,Спящий,Челябинск,Уральский,Электроника,Аудио,Apple,5.0,206,4.5,3.0,57.1,0.56,8.2,108,155,131,0.73
78,be470effdbea8624,77.67,83.97,62.95,0.8370122461398039,0.4246228543901016,0.5576861641439113,6,2,2,0,38,0,0.8157894736842105,Новичок,Краснодар,Южный,Дети и игрушки,Игрушки,Интерактивные,5.0,260,9.5,2.2,17.4,1.0,5.0,58,194,170,0.91
79,648a7b50886cd736,77.63,82.86,65.44,0.4490935828199082,0.7589931796861135,0.8235332521994878,4,1,7,2,47,0,0.9361702127659576,Новичок,Москва,Центральный,Электроника,Игровые приставки,Nintendo,4.8,185,35.6,6.5,26.3,0.82,6.8,97,141,101,0.97
80,3b2af5f135775218,77.62,80.31,71.33,0.7493927638751553,0.8196667173753202,0.5589507111888643,4,4,6,1,40,0,0.875,Спящий,Санкт-Петербург,Северо-Западный,Дом и сад,Кухонная техника,Redmond,5.0,531,10.0,6.6,40.0,0.91,1.6,98,400,333,0.87
81,f28da141d32a873d,77.62,80.31,71.33,0.7493927638751553,0.8196667173753202,0.5589507111888643,4,4,6,1,40,0,0.875,Спящий,Санкт-Петербург,Северо-Западный,Дом и сад,Кухонная техника,Redmond,5.0,531,10.0,6.6,40.0,0.91,1.6,98,400,333,0.87
82,c9061a8b85b0f6f0,77.6,86.88,55.95,0.6318957430085445,0.4728854491518978,0.5494257244998859,3,3,3,0,38,0,0.868421052631579,Уходящий,Москва,Центральный,Одежда и обувь,Обувь,Nike,5.0,142,8.9,4.1,25.2,0.67,3.8,7,111,63,0.94
83,6ba8339b258c82e8,77.6,82.89,65.26,0.6650034228341066,0.4805164676352019,0.8082433254734921,4,2,4,3,47,0,0.9574468085106383,Активный,Челябинск,Уральский,Электроника,Игровые приставки,Sony,5.0,172,14.4,1.6,5.0,0.66,3.7,215,126,66,0.92
84,fbbcd9124d11ffd8,77.56,81.9,67.41,0.7000608503841181,0.7203544534874876,0.5931613042265663,7,1,5,0,36,3,0.7777777777777778,Активный,Казань,Приволжский,Дом и сад,Инструменты,DeWalt,5.0,200,29.5,1.5,61.8,0.94,2.3,251,149,110,0.99
85,2ef3f1c44ffd9dcd,77.55,82.02,67.14,0.8197408787809639,0.587946553079283,0.5569020815902234,8,3,3,0,23,4,0.8260869565217391,Активный,Санкт-Петербург,Северо-Западный,Авто,Автомобили,Lada,5.0,268,30.3,1.4,58.1,0.88,3.9,503,198,153,0.8
86,73f8d82604e7b18e,77.52,85.42,59.1,0.8537232828782233,0.3190119418878832,0.5125326436956467,6,3,2,0,21,0,0.8095238095238095,Постоянный клиент,Челябинск,Уральский,Недвижимость,"Дома, дачи, коттеджи",Продажа,5.0,324,14.9,0.6,15.7,0.86,8.1,59,244,139,0.81
87,ccc06511d7c3ecec,77.52,85.42,59.1,0.8537232828782233,0.3190119418878832,0.5125326436956467,6,3,2,0,21,0,0.8095238095238095,Постоянный клиент,Челябинск,Уральский,Недвижимость,"Дома, дачи, коттеджи",Продажа,5.0,324,14.9,0.6,15.7,0.86,8.1,59,244,139,0.81
88,5776a99b060f50f0,77.46,79.8,72.0,0.7654166983595752,0.5919233792246646,0.7874927106310692,6,3,2,1,20,3,0.8,Постоянный клиент,Владивосток,Дальневосточный,Электроника,Аудио,Sony,4.7,208,14.8,6.1,29.4,0.82,6.9,646,152,130,0.95
89,0838e7052f0b8ffb,77.43,79.04,73.67,0.7409700565401486,0.8255210314140107,0.6422269972870869,5,3,5,2,17,0,0.8823529411764706,Спящий,Омск,Сибирский,Авто,Запчасти,BMW,4.7,170,7.4,5.9,40.8,1.0,3.2,92,125,110,0.78
90,226ca819a6295af1,77.41,83.11,64.1,0.8682665246824373,0.2992349331913491,0.6796728024137318,7,3,2,2,21,0,0.8095238095238095,Активный,Челябинск,Уральский,Авто,Шины и диски,Continental,4.9,197,12.5,3.3,15.9,0.3,5.4,123,148,63,0.74
91,385a38748b323c2a,77.3,83.2,63.55,0.7510306533809995,0.4484616262265155,0.6686132451002763,4,5,1,1,48,0,0.8333333333333334,Премиум,Краснодар,Южный,Хобби и отдых,Музыкальные инструменты,Гитары,4.9,220,3.8,8.5,52.2,0.45,3.2,320,169,159,0.95
92,68e93a8a94d7800c,77.3,83.2,63.55,0.7510306533809995,0.4484616262265155,0.6686132451002763,4,5,1,1,48,0,0.8333333333333334,Премиум,Краснодар,Южный,Хобби и отдых,Музыкальные инструменты,Гитары,4.9,220,3.8,8.5,52.2,0.45,3.2,320,169,159,0.95
93,a9a61f7bc03cf1cf,77.28,82.87,64.23,0.5943840166324383,0.524590527623539,0.8238825080499987,5,1,3,1,47,7,0.7446808510638298,Спящий,Челябинск,Уральский,Авто,Автомобили,BMW,5.0,241,34.6,3.1,10.8,0.81,9.2,182,181,75,0.95
